Date,AMZN,DPZ,BTC,NFLX
2022-06-05 00:00:00+00:00,,,29906.662109375,
2022-06-06 00:00:00+00:00,,,31370.671875,
2022-06-06 04:00:00+00:00,124.79000091552734,359.5369873046875,,197.13999938964844
2022-06-07 00:00:00+00:00,,,31155.478515625,
2022-06-07 04:00:00+00:00,123.0,367.17047119140625,,198.61000061035156
2022-06-08 00:00:00+00:00,,,30214.35546875,
2022-06-08 04:00:00+00:00,121.18000030517578,365.9506530761719,,202.8300018310547
2022-06-09 00:00:00+00:00,,,30111.998046875,
2022-06-09 04:00:00+00:00,116.1500015258789,367.3230285644531,,192.77000427246094
2022-06-10 00:00:00+00:00,,,29083.8046875,
2022-06-10 04:00:00+00:00,109.6500015258789,362.61517333984375,,182.94000244140625
2022-06-11 00:00:00+00:00,,,28360.810546875,
2022-06-12 00:00:00+00:00,,,26762.6484375,
2022-06-13 00:00:00+00:00,,,22487.388671875,
2022-06-13 04:00:00+00:00,103.66999816894531,362.7390441894531,,169.69000244140625
2022-06-14 00:00:00+00:00,,,22206.79296875,
2022-06-14 04:00:00+00:00,102.30999755859375,360.44525146484375,,167.5399932861328
2022-06-15 00:00:00+00:00,,,22572.83984375,
2022-06-15 04:00:00+00:00,107.66999816894531,368.3685302734375,,180.11000061035156
2022-06-16 00:00:00+00:00,,,20381.650390625,
2022-06-16 04:00:00+00:00,103.66000366210938,362.7581787109375,,173.35000610351562
2022-06-17 00:00:00+00:00,,,20471.482421875,
2022-06-17 04:00:00+00:00,106.22000122070312,362.3949890136719,,175.50999450683594
2022-06-18 00:00:00+00:00,,,19017.642578125,
2022-06-19 00:00:00+00:00,,,20553.271484375,
2022-06-20 00:00:00+00:00,,,20599.537109375,
2022-06-21 00:00:00+00:00,,,20710.59765625,
2022-06-21 04:00:00+00:00,108.68000030517578,369.266845703125,,170.91000366210938
2022-06-22 00:00:00+00:00,,,19987.029296875,
2022-06-22 04:00:00+00:00,108.94999694824219,372.5164489746094,,178.88999938964844
2022-06-23 00:00:00+00:00,,,21085.876953125,
2022-06-23 04:00:00+00:00,112.44000244140625,380.51611328125,,181.7100067138672
2022-06-24 00:00:00+00:00,,,21231.65625,
2022-06-24 04:00:00+00:00,116.45999908447266,378.9964904785156,,190.85000610351562
2022-06-25 00:00:00+00:00,,,21502.337890625,
2022-06-26 00:00:00+00:00,,,21027.294921875,
2022-06-27 00:00:00+00:00,,,20735.478515625,
2022-06-27 04:00:00+00:00,113.22000122070312,379.990478515625,,189.13999938964844
2022-06-28 00:00:00+00:00,,,20280.634765625,
2022-06-28 04:00:00+00:00,107.4000015258789,373.4244384765625,,179.60000610351562
2022-06-29 00:00:00+00:00,,,20104.0234375,
2022-06-29 04:00:00+00:00,108.91999816894531,371.8283386230469,,178.36000061035156
2022-06-30 00:00:00+00:00,,,19784.7265625,
2022-06-30 04:00:00+00:00,106.20999908447266,372.4686279296875,,174.8699951171875
2022-07-01 00:00:00+00:00,,,19269.3671875,
2022-07-01 04:00:00+00:00,109.55999755859375,385.7536315917969,,179.9499969482422
2022-07-02 00:00:00+00:00,,,19242.255859375,
2022-07-03 00:00:00+00:00,,,19297.076171875,
2022-07-04 00:00:00+00:00,,,20231.26171875,
2022-07-05 00:00:00+00:00,,,20190.115234375,
2022-07-05 04:00:00+00:00,113.5,379.2450256347656,,185.8800048828125
2022-07-06 00:00:00+00:00,,,20548.24609375,
2022-07-06 04:00:00+00:00,114.33000183105469,379.9809265136719,,184.05999755859375
2022-07-07 00:00:00+00:00,,,21637.587890625,
2022-07-07 04:00:00+00:00,116.33000183105469,387.59832763671875,,189.27000427246094
2022-07-08 00:00:00+00:00,,,21731.1171875,
2022-07-08 04:00:00+00:00,115.54000091552734,383.59368896484375,,186.97999572753906
2022-07-09 00:00:00+00:00,,,21592.20703125,
2022-07-10 00:00:00+00:00,,,20860.44921875,
2022-07-11 00:00:00+00:00,,,19970.556640625,
2022-07-11 04:00:00+00:00,111.75,379.675048828125,,177.33999633789062
2022-07-12 00:00:00+00:00,,,19323.9140625,
2022-07-12 04:00:00+00:00,109.22000122070312,374.1698913574219,,174.4499969482422
2022-07-13 00:00:00+00:00,,,20212.07421875,
2022-07-13 04:00:00+00:00,110.4000015258789,383.6128234863281,,176.55999755859375
2022-07-14 00:00:00+00:00,,,20569.919921875,
2022-07-14 04:00:00+00:00,110.62999725341797,381.49102783203125,,174.77999877929688
2022-07-15 00:00:00+00:00,,,20836.328125,
2022-07-15 04:00:00+00:00,113.55000305175781,388.6114501953125,,189.11000061035156
2022-07-16 00:00:00+00:00,,,21190.31640625,
2022-07-17 00:00:00+00:00,,,20779.34375,
2022-07-18 00:00:00+00:00,,,22485.689453125,
2022-07-18 04:00:00+00:00,113.76000213623047,388.8121032714844,,190.9199981689453
2022-07-19 00:00:00+00:00,,,23389.43359375,
2022-07-19 04:00:00+00:00,118.20999908447266,392.0904541015625,,201.6300048828125
2022-07-20 00:00:00+00:00,,,23231.732421875,
2022-07-20 04:00:00+00:00,122.7699966430664,392.6829833984375,,216.44000244140625
2022-07-21 00:00:00+00:00,,,23164.62890625,
2022-07-21 04:00:00+00:00,124.62999725341797,387.6939392089844,,223.8800048828125
2022-07-22 00:00:00+00:00,,,22714.978515625,
2022-07-22 04:00:00+00:00,122.41999816894531,381.605712890625,,220.44000244140625
2022-07-23 00:00:00+00:00,,,22465.478515625,
2022-07-24 00:00:00+00:00,,,22609.1640625,
2022-07-25 00:00:00+00:00,,,21361.701171875,
2022-07-25 04:00:00+00:00,121.13999938964844,370.82476806640625,,218.50999450683594
2022-07-26 00:00:00+00:00,,,21239.75390625,
2022-07-26 04:00:00+00:00,114.80999755859375,369.6396484375,,213.91000366210938
2022-07-27 00:00:00+00:00,,,22930.548828125,
2022-07-27 04:00:00+00:00,120.97000122070312,375.603515625,,226.75
2022-07-28 00:00:00+00:00,,,23843.88671875,
2022-07-28 04:00:00+00:00,122.27999877929688,372.5738525390625,,226.02000427246094
2022-07-29 00:00:00+00:00,,,23804.6328125,
2022-07-29 04:00:00+00:00,134.9499969482422,374.762451171875,,224.89999389648438
2022-07-30 00:00:00+00:00,,,23656.20703125,
2022-07-31 00:00:00+00:00,,,23336.896484375,
2022-08-01 00:00:00+00:00,,,23314.19921875,
2022-08-01 04:00:00+00:00,135.38999938964844,372.8605651855469,,226.2100067138672
2022-08-02 00:00:00+00:00,,,22978.1171875,
2022-08-02 04:00:00+00:00,134.16000366210938,373.7685241699219,,221.4199981689453
2022-08-03 00:00:00+00:00,,,22846.5078125,
2022-08-03 04:00:00+00:00,139.52000427246094,373.6155700683594,,226.72999572753906
2022-08-04 00:00:00+00:00,,,22630.95703125,
2022-08-04 04:00:00+00:00,142.57000732421875,374.026611328125,,229.91000366210938
2022-08-05 00:00:00+00:00,,,23289.314453125,
2022-08-05 04:00:00+00:00,140.8000030517578,370.76739501953125,,226.77999877929688
2022-08-06 00:00:00+00:00,,,22961.279296875,
2022-08-07 00:00:00+00:00,,,23175.890625,
2022-08-08 00:00:00+00:00,,,23809.486328125,
2022-08-08 04:00:00+00:00,139.41000366210938,377.4195861816406,,233.49000549316406
2022-08-09 00:00:00+00:00,,,23164.318359375,
2022-08-09 04:00:00+00:00,137.8300018310547,375.1926574707031,,229.94000244140625
2022-08-10 00:00:00+00:00,,,23947.642578125,
2022-08-10 04:00:00+00:00,142.69000244140625,387.799072265625,,244.11000061035156
2022-08-11 00:00:00+00:00,,,23957.529296875,
2022-08-11 04:00:00+00:00,140.63999938964844,386.25079345703125,,242.6999969482422
2022-08-12 00:00:00+00:00,,,24402.818359375,
2022-08-12 04:00:00+00:00,143.5500030517578,394.00189208984375,,249.3000030517578
2022-08-13 00:00:00+00:00,,,24424.068359375,
2022-08-14 00:00:00+00:00,,,24319.333984375,
2022-08-15 00:00:00+00:00,,,24136.97265625,
2022-08-15 04:00:00+00:00,143.17999267578125,392.6829833984375,,249.11000061035156
2022-08-16 00:00:00+00:00,,,23883.291015625,
2022-08-16 04:00:00+00:00,144.77999877929688,392.7498474121094,,245.69000244140625
2022-08-17 00:00:00+00:00,,,23335.998046875,
2022-08-17 04:00:00+00:00,142.10000610351562,393.762939453125,,241.14999389648438
2022-08-18 00:00:00+00:00,,,23212.73828125,
2022-08-18 04:00:00+00:00,142.3000030517578,398.5035400390625,,245.1699981689453
2022-08-19 00:00:00+00:00,,,20877.552734375,
2022-08-19 04:00:00+00:00,138.22999572753906,387.2733459472656,,241.16000366210938
2022-08-20 00:00:00+00:00,,,21166.060546875,
2022-08-21 00:00:00+00:00,,,21534.12109375,
2022-08-22 00:00:00+00:00,,,21398.908203125,
2022-08-22 04:00:00+00:00,133.22000122070312,383.45989990234375,,226.5399932861328
2022-08-23 00:00:00+00:00,,,21528.087890625,
2022-08-23 04:00:00+00:00,133.6199951171875,375.0970764160156,,224.5500030517578
2022-08-24 00:00:00+00:00,,,21395.01953125,
2022-08-24 04:00:00+00:00,133.8000030517578,379.3979187011719,,229.61000061035156
2022-08-25 00:00:00+00:00,,,21600.904296875,
2022-08-25 04:00:00+00:00,137.27999877929688,388.9650573730469,,233.97999572753906
2022-08-26 00:00:00+00:00,,,20260.01953125,
2022-08-26 04:00:00+00:00,130.75,373.013427734375,,223.27999877929688
2022-08-27 00:00:00+00:00,,,20041.73828125,
